,state,abbreviation,month,as_of_date,pop
0,alabama,AL,march,2020-03-31,21114
1,alabama,AL,april,2020-04-30,20655
2,alabama,AL,june,2020-06-30,19752
3,alabama,AL,july,2020-07-31,19342
4,alabama,AL,aug,2020-08-31,18901
5,alabama,AL,sept,2020-09-30,18693
6,alabama,AL,oct,2020-10-31,18262
7,alabama,AL,nov,2020-11-30,17914
8,alabama,AL,dec,2020-12-31,17725
9,alabama,AL,jan_2021,2021-01-31,17454
10,alabama,AL,feb_2021,2021-02-28,17308
11,alabama,AL,march_2021,2021-03-31,17134
12,alabama,AL,may_2021,2021-04-30,17051
13,alabama,AL,april_2021,2021-04-30,17051
14,alaska,AK,march,2020-03-15,4776
15,alaska,AK,april,2020-04-15,4277
16,alaska,AK,june,2020-06-16,4216
17,alaska,AK,july,2020-07-31,4334
18,alaska,AK,aug,2020-08-31,4414
19,alaska,AK,sept,2020-09-30,4511
20,alaska,AK,oct,2020-10-31,4586
21,alaska,AK,nov,2020-11-30,4581
22,alaska,AK,dec,2020-12-31,4559
23,alaska,AK,jan_2021,2021-01-31,4523
24,alaska,AK,feb_2021,2021-02-28,4505
25,alaska,AK,march_2021,2021-03-31,4493
26,alaska,AK,april_2021,2021-04-30,4478
27,alaska,AK,may_2021,2021-05-31,4487
28,arizona,AZ,march,2020-03-31,42360
29,arizona,AZ,april,2020-04-30,41777
30,arizona,AZ,june,2020-06-30,40529
31,arizona,AZ,july,2020-07-31,39339
32,arizona,AZ,aug,2020-08-31,39153
33,arizona,AZ,sept,2020-09-30,38894
34,arizona,AZ,oct,2020-10-31,38495
35,arizona,AZ,nov,2020-11-30,38141
36,arizona,AZ,dec,2020-12-31,37731
37,arizona,AZ,jan_2021,2021-01-31,37396
38,arizona,AZ,feb_2021,2021-02-28,36975
39,arizona,AZ,march_2021,2021-03-31,36704
40,arizona,AZ,april_2021,2021-04-30,36569
41,arizona,AZ,may_2021,2021-05-31,36266
42,arkansas,AR,march,2020-03-15,17501
43,arkansas,AR,april,2020-04-15,17502
44,arkansas,AR,june,2020-06-16,16473
45,arkansas,AR,july,2020-07-31,15736
46,arkansas,AR,aug,2020-08-31,15521
47,arkansas,AR,sept,2020-09-30,15127
48,arkansas,AR,oct,2020-10-30,14883
49,arkansas,AR,nov,2020-11-30,14899
50,arkansas,AR,dec,2020-12-31,14812
51,arkansas,AR,jan_2021,2021-02-01,14462
52,arkansas,AR,feb_2021,2021-02-26,14630
53,arkansas,AR,march_2021,2021-03-31,15020
54,arkansas,AR,april_2021,2021-04-30,15530
55,arkansas,AR,may_2021,2021-05-31,15898
56,california,CA,march,2020-03-11,117639
57,california,CA,april,2020-04-15,113632
58,california,CA,june,2020-06-17,109800
59,california,CA,july,2020-07-29,102715
60,california,CA,aug,2020-09-02,97342
61,california,CA,sept,2020-09-30,94852
62,california,CA,oct,2020-11-04,94433
63,california,CA,nov,2020-12-02,94179
64,california,CA,dec,2020-12-30,92350
65,california,CA,jan_2021,2021-01-27,91341
66,california,CA,feb_2021,2021-02-24,91516
67,california,CA,march_2021,2021-03-31,92079
68,california,CA,april_2021,2021-04-28,92836
69,california,CA,may_2021,2021-06-02,95107
70,colorado,CO,march,2020-03-31,17585
71,colorado,CO,april,2020-04-30,16382
72,colorado,CO,june,2020-06-30,15807
73,colorado,CO,july,2020-07-31,15531
74,colorado,CO,aug,2020-08-31,15022
75,colorado,CO,sept,2020-09-30,14935
76,colorado,CO,oct,2020-10-31,14673
77,colorado,CO,nov,2020-11-30,14257
78,colorado,CO,dec,2020-12-31,13687
79,colorado,CO,jan_2021,2021-01-31,13558
80,colorado,CO,feb_2021,2021-02-28,13556
81,colorado,CO,march_2021,2021-03-31,13553
82,colorado,CO,april_2021,2021-04-30,13537
83,colorado,CO,may_2021,2021-05-31,13650
84,connecticut,CT,march,2020-03-15,12290
85,connecticut,CT,april,2020-04-15,11454
86,connecticut,CT,june,2020-06-16,10206
87,connecticut,CT,july,2020-08-01,9645
88,connecticut,CT,aug,2020-09-01,9545
89,connecticut,CT,sept,2020-09-30,9391
90,connecticut,CT,oct,2020-10-31,9348
91,connecticut,CT,nov,2020-11-30,9233
92,connecticut,CT,dec,2020-12-31,9111
93,connecticut,CT,jan_2021,2021-01-31,9053
94,connecticut,CT,feb_2021,2021-02-28,9043
95,connecticut,CT,march_2021,2021-03-31,8961
96,connecticut,CT,april_2021,2021-04-30,8957
97,connecticut,CT,may_2021,2021-05-31,8957
98,delaware,DE,march,2020-03-15,5042
99,delaware,DE,april,2020-04-15,4624
100,delaware,DE,june,2020-06-25,4233
101,delaware,DE,july,2020-07-31,4195
102,delaware,DE,aug,2020-08-31,4216
103,delaware,DE,sept,2020-09-30,4322
104,delaware,DE,oct,2020-10-31,4457
105,delaware,DE,nov,2020-11-20,4168
106,delaware,DE,dec,2020-12-31,4358
107,delaware,DE,jan_2021,2021-01-31,4677
108,delaware,DE,feb_2021,2021-02-28,4360
109,delaware,DE,march_2021,2021-03-31,4326
110,delaware,DE,april_2021,2021-04-30,4269
111,delaware,DE,may_2021,2021-05-31,4267
112,federal,US,march,2020-03-12,172088
113,federal,US,april,2020-04-16,167720
114,federal,US,june,2020-06-18,154707
115,federal,US,july,2020-07-31,150025
116,federal,US,aug,2020-08-27,147457
117,federal,US,sept,2020-10-01,146802
118,federal,US,oct,2020-11-05,145718
119,federal,US,nov,2020-12-03,144751
120,federal,US,dec,2020-12-31,143350
121,federal,US,jan_2021,2021-01-28,143416
122,federal,US,feb_2021,2021-03-04,143443
123,federal,US,march_2021,2021-04-01,143987
124,federal,US,april_2021,2021-04-22,144016
125,federal,US,may_2021,2021-06-03,144976
126,florida,FL,march,2020-03-15,93764
127,florida,FL,april,2020-04-15,91828
128,florida,FL,june,2020-06-16,88305
129,florida,FL,july,2020-07-31,85839
130,florida,FL,aug,2020-09-01,84601
131,florida,FL,sept,2020-09-30,82997
132,florida,FL,oct,2020-10-31,82027
133,florida,FL,nov,2020-12-01,81795
134,florida,FL,dec,2020-12-31,79523
135,florida,FL,jan_2021,2021-02-01,79322
136,florida,FL,feb_2021,2021-02-28,79476
137,florida,FL,march_2021,2021-03-31,79660
138,florida,FL,april_2021,2021-04-30,80298
139,florida,FL,may_2021,2021-05-31,80271
140,georgia,GA,march,2020-04-01,55019
141,georgia,GA,april,2020-05-01,53642
142,georgia,GA,june,2020-07-01,51213
143,georgia,GA,july,2020-08-01,50446
144,georgia,GA,aug,2020-09-01,49848
145,georgia,GA,sept,2020-10-01,49365
146,georgia,GA,oct,2020-11-05,48433
147,georgia,GA,nov,2020-11-30,48132
148,georgia,GA,dec,2021-01-01,47703
149,georgia,GA,jan_2021,2021-02-01,47027
150,georgia,GA,feb_2021,2021-03-01,46530
151,georgia,GA,march_2021,2021-04-01,46309
152,georgia,GA,april_2021,2021-05-03,46195
153,georgia,GA,may_2021,2021-06-01,46296
154,hawaii,HI,march,2020-03-31,4836
155,hawaii,HI,april,2020-04-30,4260
156,hawaii,HI,june,2020-06-15,4404
157,hawaii,HI,july,2020-07-31,4508
158,hawaii,HI,aug,2020-08-31,4162
159,hawaii,HI,sept,2020-09-30,4140
160,hawaii,HI,oct,2020-11-02,4184
161,hawaii,HI,nov,2020-11-30,4183
162,hawaii,HI,dec,2020-12-31,4171
163,hawaii,HI,jan_2021,2021-01-31,4200
164,hawaii,HI,feb_2021,2021-03-01,4153
165,hawaii,HI,march_2021,2021-03-31,4117
166,hawaii,HI,april_2021,2021-04-30,4084
167,hawaii,HI,may_2021,2021-05-31,4134
168,idaho,ID,march,2020-03-16,7816
169,idaho,ID,april,2020-04-15,7641
170,idaho,ID,june,2020-06-16,7798
171,idaho,ID,july,2020-07-31,7626
172,idaho,ID,aug,2020-08-31,7426
173,idaho,ID,sept,2020-09-30,7155
174,idaho,ID,oct,2020-10-30,7496
175,idaho,ID,nov,2020-11-30,7407
176,idaho,ID,dec,2020-12-31,7343
177,idaho,ID,jan_2021,2021-02-01,7461
178,idaho,ID,feb_2021,2021-03-01,7827
179,idaho,ID,march_2021,2021-03-31,7867
180,idaho,ID,april_2021,2021-04-30,7921
181,idaho,ID,may_2021,2021-06-01,7878
182,illinois,IL,march,2020-03-31,36931
183,illinois,IL,april,2020-04-30,34668
184,illinois,IL,june,2020-06-30,31945
185,illinois,IL,july,2020-07-31,31195
186,illinois,IL,aug,2020-09-01,31236
187,illinois,IL,sept,2020-09-30,31002
188,illinois,IL,oct,2020-10-31,30651
189,illinois,IL,nov,2020-11-30,30001
190,illinois,IL,dec,2020-12-31,29225
191,illinois,IL,jan_2021,2021-01-22,29151
192,illinois,IL,feb_2021,2021-02-28,28160
193,illinois,IL,march_2021,2021-03-31,27503
194,illinois,IL,april_2021,2021-04-30,27313
195,illinois,IL,may_2021,2021-05-31,27313
196,indiana,IN,march,2020-04-01,26936
197,indiana,IN,april,2020-05-01,26418
198,indiana,IN,june,2020-07-01,25385
199,indiana,IN,july,2020-07-01,25385
200,indiana,IN,aug,2020-09-01,24513
201,indiana,IN,sept,2020-10-01,24350
202,indiana,IN,oct,2020-11-01,24203
203,indiana,IN,nov,2020-12-01,23978
204,indiana,IN,dec,2021-01-01,23726
205,indiana,IN,jan_2021,2021-02-01,23745
206,indiana,IN,feb_2021,2021-03-01,23745
207,indiana,IN,march_2021,2021-04-01,23769
208,indiana,IN,april_2021,2021-05-01,23554
209,indiana,IN,may_2021,2021-06-01,23510
210,iowa,IA,march,2020-03-15,8533
211,iowa,IA,april,2020-04-15,8401
212,iowa,IA,june,2020-06-18,7600
213,iowa,IA,july,2020-07-31,7493
214,iowa,IA,aug,2020-08-31,7362
215,iowa,IA,sept,2020-09-30,7395
216,iowa,IA,oct,2020-10-31,7415
217,iowa,IA,nov,2020-11-30,7441
218,iowa,IA,dec,2020-12-31,7542
219,iowa,IA,jan_2021,2021-01-31,7489
220,iowa,IA,feb_2021,2021-02-28,7554
221,iowa,IA,march_2021,2021-04-05,7627
222,iowa,IA,april_2021,2021-04-30,7673
223,iowa,IA,may_2021,2021-05-31,7680
224,kansas,KS,march,2020-03-16,9804
225,kansas,KS,april,2020-04-15,9673
226,kansas,KS,june,2020-06-16,9091
227,kansas,KS,july,2020-07-31,8735
228,kansas,KS,aug,2020-08-31,8580
229,kansas,KS,sept,2020-09-30,8486
230,kansas,KS,oct,2020-10-30,8414
231,kansas,KS,nov,2020-11-30,8408
232,kansas,KS,dec,2020-12-31,8574
233,kansas,KS,jan_2021,2021-01-29,8665
234,kansas,KS,feb_2021,2021-03-01,8719
235,kansas,KS,march_2021,2021-03-31,8745
236,kansas,KS,april_2021,2021-04-30,8682
237,kansas,KS,may_2021,2021-06-01,8650
238,kentucky,KY,march,2020-03-16,12162
239,kentucky,KY,april,2020-04-15,11782
240,kentucky,KY,june,2020-06-15,11272
241,kentucky,KY,july,2020-07-31,11002
242,kentucky,KY,aug,2020-08-31,10589
243,kentucky,KY,sept,2020-09-30,10391
244,kentucky,KY,oct,2020-10-30,10242
245,kentucky,KY,nov,2020-11-30,10151
246,kentucky,KY,dec,2020-12-30,9854
247,kentucky,KY,jan_2021,2021-01-29,9706
248,kentucky,KY,feb_2021,2021-03-01,9655
249,kentucky,KY,march_2021,2021-03-31,9625
250,kentucky,KY,april_2021,2021-04-30,9708
251,kentucky,KY,may_2021,2021-06-01,9899
252,louisiana,LA,march,2020-03-18,15066
253,louisiana,LA,april,2020-04-15,14967
254,louisiana,LA,june,2020-06-17,14623
255,louisiana,LA,july,2020-07-31,14443
256,louisiana,LA,aug,2020-08-31,14313
257,louisiana,LA,sept,2020-09-30,14241
258,louisiana,LA,oct,2020-10-31,14134
259,louisiana,LA,nov,2020-11-30,14052
260,louisiana,LA,dec,2020-12-31,13903
261,louisiana,LA,jan_2021,2021-01-31,13822
262,louisiana,LA,feb_2021,2021-02-28,13722
263,louisiana,LA,march_2021,2021-03-31,13724
264,louisiana,LA,april_2021,2021-04-30,13546
265,louisiana,LA,may_2021,2021-05-31,13522
266,maine,ME,march,2020-03-15,2138
267,maine,ME,april,2020-04-15,2019
268,maine,ME,june,2020-06-16,1828
269,maine,ME,july,2020-07-25,1788
270,maine,ME,aug,2020-08-31,1783
271,maine,ME,sept,2020-09-29,1779
272,maine,ME,oct,2020-10-31,1766
273,maine,ME,nov,2020-12-01,1718
274,maine,ME,dec,2020-12-31,1712
275,maine,ME,jan_2021,2021-02-03,1679
276,maine,ME,feb_2021,2021-03-02,1672
277,maine,ME,march_2021,2021-04-02,1661
278,maine,ME,april_2021,2021-04-30,1616
279,maine,ME,may_2021,2021-05-28,1603
280,maryland,MD,march,2020-04-01,20314
281,maryland,MD,april,2020-05-01,19731
282,maryland,MD,june,2020-07-01,19109
283,maryland,MD,july,2020-08-01,17635
284,maryland,MD,aug,2020-08-31,17455
285,maryland,MD,sept,2020-09-30,18003
286,maryland,MD,oct,2020-10-31,18280
287,maryland,MD,feb_2021,2020-11-30,18426
288,maryland,MD,april_2021,2020-11-30,18426
289,maryland,MD,may_2021,2020-11-30,18426
290,maryland,MD,nov,2020-11-30,18426
291,maryland,MD,jan_2021,2020-11-30,18426
292,maryland,MD,march_2021,2020-11-30,18426
293,maryland,MD,dec,2020-11-30,18426
294,massachusetts,MA,march,2020-03-16,7969
295,massachusetts,MA,april,2020-04-13,7626
296,massachusetts,MA,june,2020-06-15,7125
297,massachusetts,MA,july,2020-07-31,7033
298,massachusetts,MA,aug,2020-08-31,6973
299,massachusetts,MA,sept,2020-09-28,6891
300,massachusetts,MA,oct,2020-11-02,6729
301,massachusetts,MA,nov,2020-11-30,6690
302,massachusetts,MA,dec,2021-01-04,6570
303,massachusetts,MA,jan_2021,2021-02-01,6524
304,massachusetts,MA,feb_2021,2021-03-08,6374
305,massachusetts,MA,march_2021,2021-03-29,6362
306,massachusetts,MA,april_2021,2021-05-03,6318
307,massachusetts,MA,may_2021,2021-05-31,6345
308,michigan,MI,march,2020-03-22,38176
309,michigan,MI,april,2020-04-11,37687
310,michigan,MI,june,2020-06-16,35798
311,michigan,MI,july,2020-07-31,34973
312,michigan,MI,aug,2020-08-31,34561
313,michigan,MI,sept,2020-09-30,34330
314,michigan,MI,oct,2020-10-31,34134
315,michigan,MI,nov,2020-11-30,33917
316,michigan,MI,dec,2020-12-31,33617
317,michigan,MI,jan_2021,2021-01-31,33370
318,michigan,MI,feb_2021,2021-02-28,33185
319,michigan,MI,march_2021,2021-03-31,32962
320,michigan,MI,april_2021,2021-04-30,32822
321,michigan,MI,may_2021,2021-05-31,32698
322,minnesota,MN,march,2020-03-24,8904
323,minnesota,MN,april,2020-04-20,8718
324,minnesota,MN,june,2020-06-29,8402
325,minnesota,MN,july,2020-08-03,7736
326,minnesota,MN,aug,2020-08-31,7576
327,minnesota,MN,sept,2020-10-05,7674
328,minnesota,MN,oct,2020-10-31,7575
329,minnesota,MN,nov,2020-12-01,7549
330,minnesota,MN,dec,2021-01-05,7427
331,minnesota,MN,jan_2021,2021-02-03,7315
332,minnesota,MN,feb_2021,2021-03-02,7327
333,minnesota,MN,march_2021,2021-03-30,7342
334,minnesota,MN,april_2021,2021-04-27,7228
335,minnesota,MN,may_2021,2021-05-25,7251
336,mississippi,MS,march,2020-03-15,17667
337,mississippi,MS,april,2020-04-15,16147
338,mississippi,MS,june,2020-06-16,15857
339,mississippi,MS,july,2020-07-31,15662
340,mississippi,MS,aug,2020-08-31,15603
341,mississippi,MS,sept,2020-09-30,15579
342,mississippi,MS,oct,2020-10-31,15367
343,mississippi,MS,nov,2020-11-30,15459
344,mississippi,MS,dec,2020-12-31,15444
345,mississippi,MS,jan_2021,2021-01-31,15294
346,mississippi,MS,feb_2021,2021-03-01,15336
347,mississippi,MS,march_2021,2021-03-31,15261
348,mississippi,MS,april_2021,2021-04-30,15309
349,mississippi,MS,may_2021,2021-05-31,15532
350,missouri,MO,march,2020-03-31,25740
351,missouri,MO,april,2020-04-30,25133
352,missouri,MO,june,2020-06-18,24000
353,missouri,MO,july,2020-07-31,23877
354,missouri,MO,aug,2020-08-31,23777
355,missouri,MO,sept,2020-09-30,23602
356,missouri,MO,oct,2020-10-30,23554
357,missouri,MO,nov,2020-11-30,23397
358,missouri,MO,dec,2020-12-31,23106
359,missouri,MO,jan_2021,2021-01-31,23037
360,missouri,MO,feb_2021,2021-02-28,22783
361,missouri,MO,march_2021,2021-03-31,22939
362,missouri,MO,april_2021,2021-04-30,23044
